Date,SP500_Price,Dividend,Earnings,CPI,Long_Rate,Real_Price,Real_Dividend,Real_Earnings,CAPE
1871.01,4.44,0.26,0.4,12.46406116,5.32,109.0500184933303,6.385811893753576,9.824325990390117,
1871.02,4.5,0.26,0.4,12.84464132,5.323333333333333,107.24890759347416,6.1966035498451735,9.533236230531037,
1871.03,4.61,0.26,0.4,13.0349719,5.326666666666667,108.26626906652555,6.1061236349884265,9.394036361520655,
1871.04,4.74,0.26,0.4,12.55922645,5.33,115.53612444021182,6.3374245473533914,9.749883919005217,
1871.05,4.86,0.26,0.4,12.27381157,5.333333333333334,121.21578056782892,6.484794845192495,9.976607454142298,
1871.06,4.82,0.26,0.4,12.08348099,5.336666666666667,122.111711949654,6.586938818861004,10.133752029016929,
1871.07,4.73,0.26,0.4,12.08348099,5.34,119.83161774312518,6.586938818861004,10.133752029016929,
1871.08,4.79,0.26,0.4,11.8932314,5.343333333333334,123.29287774557214,6.692306516461119,10.29585617917095,
1871.09,4.84,0.26,0.4,12.17864628,5.346666666666668,121.6602458052505,6.53546774986883,10.054565769028967,
1871.1,4.59,0.26,0.4,12.36889587,5.3500000000000005,113.60150815143048,6.434943816856629,9.899913564394813,
1871.11,4.64,0.26,0.4,12.36889587,5.3533333333333335,114.83899734697982,6.434943816856629,9.899913564394813,
1871.12,4.74,0.26,0.4,12.65439174,5.3566666666666665,114.66725385253483,6.289764979252966,9.676561506543022,
1872.01,4.86,0.2633,0.4025,12.65439174,5.36,117.57022230449772,6.369596611681945,9.737040015958918,
1872.02,4.88,0.2667,0.405,12.65439174,5.378333333333333,118.05405037982489,6.451847384487561,9.797518525374812,
1872.03,5.04,0.27,0.4075,12.84464132,5.3966666666666665,120.11877650469104,6.43493445560845,9.711984409853493,
1872.04,5.18,0.2733,0.41,13.13013719,5.415000000000001,120.77104961307717,6.371955185184168,9.559098521498386,
1872.05,5.18,0.2767,0.4125,13.13013719,5.433333333333334,120.77104961307717,6.451225758289277,9.617385707605084,
1872.06,5.13,0.28,0.415,13.0349719,5.451666666666666,120.4785163365024,6.575825453064459,9.74631272507768,
1872.07,5.1,0.2833,0.4175,12.84464132,5.470000000000001,121.54876193927069,6.751914560273606,9.950315315616768,
1872.08,5.04,0.2867,0.42,12.93980661,5.488333333333333,119.2353677687614,6.782694432401567,9.936280647396783,
1872.09,4.95,0.29,0.4225,13.0349719,5.506666666666667,116.2511999738181,6.810676362102474,9.92245090685619,
1872.1,4.97,0.2933,0.425,12.74947603,5.5249999999999995,119.33460413745328,7.042422413182103,10.204669367890874,
1872.11,4.95,0.2967,0.4275,13.13013719,5.543333333333333,115.40862849126101,6.917523247142857,9.967108824245269,
1872.12,5.07,0.3,0.43,12.93980661,5.5616666666666665,119.94510210071832,7.097343319569131,10.172858758049088,
1873.01,5.11,0.3025,0.4325,12.93980661,5.58,120.89141454332754,7.156487847232207,10.232003285712164,
1873.02,5.15,0.305,0.435,13.22522149,5.570833333333334,119.20833433240291,7.059911062404445,10.069053482445682,
1873.03,5.11,0.3075,0.4375,13.22522149,5.561666666666666,118.28244435700562,7.117779185866776,10.126921605908015,
1873.04,5.04,0.31,0.44,13.22522149,5.552499999999999,116.66213690006032,7.175647309329108,10.184789729370346,
1873.05,5.05,0.3125,0.4425,12.93980661,5.543333333333333,119.47194587941371,7.393065957884512,10.468581396364469,
1873.06,4.98,0.315,0.445,12.55922645,5.534166666666667,121.38605479161495,7.678033586216608,10.846745859893304,
1873.07,4.97,0.3175,0.4475,12.55922645,5.525,121.1423076936398,7.738970360710391,10.907682634387086,
1873.08,4.97,0.32,0.45,12.55922645,5.515833333333333,121.1423076936398,7.7999071352041724,10.968619408880867,
1873.09,4.59,0.3225,0.4525,12.55922645,5.506666666666667,111.87991797058486,7.860843909697956,11.029556183374652,
1873.1,4.19,0.325,0.455,12.27381157,5.4975000000000005,104.50496308214059,8.105993556490619,11.348390979086865,
1873.11,4.04,0.3275,0.4575,11.8932314,5.488333333333332,103.98814740962662,8.429732246696217,11.775885504926777,
1873.12,4.42,0.33,0.46,12.17864628,5.479166666666666,111.10295174777008,8.295016759448899,11.562750634383313,
1874.01,4.66,0.33,0.46,12.36889587,5.47,115.33399302519958,8.167428690625721,11.384900599054037,
1874.02,4.8,0.33,0.46,12.36889587,5.4366666666666665,118.79896277273775,8.167428690625721,11.384900599054037,
1874.03,4.73,0.33,0.46,12.36889587,5.403333333333332,117.06647789896867,8.167428690625721,11.384900599054037,
1874.04,4.6,0.33,0.46,12.17864628,5.37,115.6275063438331,8.295016759448899,11.562750634383313,
1874.05,4.48,0.33,0.46,12.08348099,5.336666666666667,113.49802272498961,8.360345423938966,11.653814833369468,
1874.06,4.46,0.33,0.46,11.79806612,5.303333333333334,115.72478371565524,8.562596104521576,11.935740024484623,
1874.07,4.46,0.33,0.46,11.8932314,5.27,114.7987963977561,8.494081347816035,11.840234606046595,
1874.08,4.47,0.33,0.46,11.79806612,5.236666666666666,115.98425632488316,8.562596104521576,11.935740024484623,
1874.09,4.54,0.33,0.46,11.79806612,5.203333333333333,117.80056458947864,8.562596104521576,11.935740024484623,
1874.1,4.53,0.33,0.46,11.60773554,5.17,119.46839848489518,8.70299591611819,12.131448852770813,
1874.11,4.57,0.33,0.46,11.51265124,5.136666666666667,121.51872282374461,8.774874952261646,12.231643872849569,
1874.12,4.54,0.33,0.46,11.51265124,5.1033333333333335,120.72100691899355,8.774874952261646,12.231643872849569,
1875.01,4.54,0.3275,0.4517,11.51265124,5.07,120.72100691899355,8.708398626865725,12.010942472535108,
1875.02,4.53,0.325,0.4433,11.51265124,5.03,120.45510161740988,8.641922301469803,11.78758201920481,
1875.03,4.59,0.3225,0.435,11.51265124,4.99,122.05053342691198,8.575445976073881,11.56688061889035,
1875.04,4.65,0.32,0.4267,11.60773554,4.95,122.63312427257452,8.439268767144911,11.253237446689793,
1875.05,4.47,0.3175,0.4183,11.32232066,4.91,120.85772573411639,8.584413405051892,11.309795676640018,
1875.06,4.38,0.315,0.41,11.13207107,4.87,120.4482473718163,8.662373954822405,11.274835941197416,
1875.07,4.39,0.3125,0.4017,11.13207107,4.83,120.72324337038206,8.593624955180958,11.04658926238781,
1875.08,4.41,0.31,0.3933,11.22715537,4.79,120.24615590583029,8.452677626033422,10.72399390425466,
1875.09,4.37,0.3075,0.385,11.13207107,4.75,120.17325137325051,8.45612695589806,10.58734594478294,
1875.1,4.3,0.305,0.3767,11.13207107,4.710000000000001,118.24827938328997,8.387377956256614,10.359099265973333,
1875.11,4.37,0.3025,0.3683,11.03690579,4.67,121.2094404404624,8.39035600302972,10.215431788151557,
1875.12,4.37,0.3,0.36,10.9417405,4.63,122.26365403200704,8.39338586032085,10.072063032385019,
1876.01,4.46,0.3,0.3533,10.84657521,4.59,125.87647469970383,8.46702744616842,9.971335989104341,
1876.02,4.52,0.3,0.3467,10.84657521,4.578333333333333,127.5698801889375,8.46702744616842,9.785061385288637,
1876.03,4.51,0.3,0.34,10.84657521,4.566666666666666,127.28764594073189,8.46702744616842,9.595964438990876,
1876.04,4.34,0.3,0.3333,10.75149091,4.555000000000001,123.5729408248181,8.54190835194595,9.490060179011953,
1876.05,4.18,0.3,0.3267,10.37091074,4.543333333333333,123.38481952839561,8.855369822612126,9.643497736824605,
1876.06,4.15,0.3,0.32,10.08541488,4.531666666666666,125.96696716159285,9.106045818910324,9.713115540171014,
1876.07,4.1,0.3,0.3133,10.08541488,4.52,124.4492928584411,9.106045818910324,9.509747183548683,
1876.08,3.93,0.3,0.3067,10.18058017,4.508333333333334,118.17411728117649,9.020924983295915,9.222392307922856,
1876.09,3.69,0.3,0.3,10.27574545,4.496666666666667,109.92978373165128,8.93738079119116,8.93738079119116,
1876.1,3.67,0.3,0.2933,10.46599504,4.485,107.34649889534056,8.774918165831654,8.578944993461414,
1876.11,3.6,0.3,0.2867,10.56116033,4.473333333333334,104.35018175696986,8.695848479747488,8.310332530478684,
1876.12,3.58,0.3,0.28,10.75149091,4.461666666666667,101.93343966655505,8.54190835194595,7.972447795149557,
1877.01,3.55,0.2908,0.2817,10.9417405,4.45,99.32173268046337,8.135988693937678,7.881389322841278,
1877.02,3.34,0.2817,0.2833,10.65632562,4.440833333333333,95.94919360206259,8.092481388533244,8.138445074091118,
1877.03,3.17,0.2725,0.285,10.18058017,4.431666666666667,95.3211073234935,8.194006859827125,8.56987873413112,
1877.04,2.94,0.2633,0.2867,10.46599504,4.4225,85.99419802515021,7.701453176878248,8.385896793813119,
1877.05,2.94,0.2542,0.2883,10.65632562,4.413333333333333,84.45827221259403,7.302480543007278,8.282081591459475,
1877.06,2.73,0.245,0.29,10.08541488,4.404166666666667,82.86501695208396,7.436604085443433,8.802510958279981,
1877.07,2.85,0.2358,0.2917,10.18058017,4.395,85.69878734131119,7.090447036870589,8.771346058758063,
1877.08,3.05,0.2267,0.2933,9.8,4.385833333333333,95.27437499999996,7.081541249999999,9.161958749999997,
1877.09,3.24,0.2175,0.295,9.704834711,4.376666666666667,102.20195701795708,6.860779522038784,9.305425098857201,
1877.1,3.31,0.2083,0.2967,9.704834711,4.367500000000001,104.41002399056725,6.570576434210018,9.359049582477736,
1877.11,3.26,0.1992,0.2983,9.514585124,4.358333333333333,104.88903478120795,6.409170468839456,9.597668427985992,
1877.12,3.25,0.19,0.3,9.514585124,4.349166666666666,104.56728927574413,6.113164603812733,9.652365163914842,
1878.01,3.25,0.1892,0.3008,9.229089256,4.34,107.80201029621506,6.275735491705812,9.977490676031229,
1878.02,3.18,0.1883,0.3017,9.134004959,4.33,106.5781608801073,6.310901790479308,10.111519225637853,
1878.03,3.24,0.1875,0.3025,8.94367438,4.32,110.89995653441936,6.417821558704824,10.354085448043781,
1878.04,3.33,0.1867,0.3033,8.848509091,4.3100000000000005,115.20636578617035,6.4591677153988005,10.493120343226868,
1878.05,3.34,0.1858,0.3042,8.563094215,4.3,119.4037837641612,6.642282342329687,10.875039227861631,
1878.06,3.41,0.185,0.305,8.372844628,4.29,124.67623864762344,6.763960161234703,11.151393779332889,
1878.07,3.48,0.1842,0.3058,8.467928926,4.279999999999999,125.80687784577653,6.659088189422999,11.055098633689214,
1878.08,3.45,0.1833,0.3067,8.563094215,4.27,123.33624370848989,6.552908252685853,10.96441331750546,
1878.09,3.52,0.1825,0.3075,8.563094215,4.26,125.83871821851722,6.524308543999826,10.99301302619149,
1878.1,3.48,0.1817,0.3083,8.467928926,4.25,125.80687784577653,6.568709685223447,11.145477137888767,
1878.11,3.47,0.1808,0.3092,8.372844628,4.239999999999999,126.86995545667254,6.610399984601266,11.304953955966324,
1878.12,3.45,0.18,0.31,8.18251405,4.2299999999999995,129.07278478794666,6.734232249805912,11.597844430221294,
1879.01,3.58,0.1817,0.3158,8.277679339,4.22,132.39658183381582,6.719681262347578,11.679005738301406,
1879.02,3.71,0.1833,0.3217,8.372844628,4.203333333333333,135.6448226928689,6.701804851644978,11.761978291184885,
1879.03,3.65,0.185,0.3275,8.277679339,4.186666666666666,134.9853418138066,6.841722804261431,12.111698477814155,
1879.04,3.77,0.1867,0.3333,8.18251405,4.17,141.04475323204605,6.984895339104244,12.469553382557281,
1879.05,3.94,0.1883,0.3392,8.18251405,4.153333333333332,147.4048614679739,7.04475518132474,12.690286550745364,
1879.06,3.96,0.19,0.345,8.087381157,4.136666666666667,149.8958533629553,7.191972762364017,13.059108436924134,
1879.07,4.04,0.1917,0.3508,8.18251405,4.119999999999999,151.14610160675494,7.171957346043297,13.124270406843966,
1879.08,4.07,0.1933,0.3567,8.18251405,4.103333333333333,152.26847364838926,7.231817188263794,13.34500357503205,
1879.09,4.22,0.195,0.3625,8.467928926,4.086666666666666,152.55891508884395,7.049523327565065,13.104883108935056,
1879.1,4.68,0.1967,0.3683,8.94367438,4.069999999999999,160.18882610527237,6.732722669851941,12.606312960378595,
1879.11,4.93,0.1983,0.3742,9.419419835,4.053333333333333,160.22309244484373,6.444673272172924,12.161355211533575,
1879.12,4.92,0.2,0.38,9.704834711,4.036666666666667,155.19556436060145,6.308762778886239,11.986649279883853,
1880.01,5.11,0.205,0.3892,9.990330579,4.02,156.58255876819868,6.281687778371962,11.92601406508472,
1880.02,5.2,0.21,0.3983,9.990330579,3.993333333333333,159.340372914801,6.434899675405425,12.204859717685622,
1880.03,5.3,0.215,0.4075,10.08541488,3.9666666666666663,160.8734761340824,6.5259995035524,12.369045570686525,
1880.04,5.18,0.22,0.4167,9.704834711,3.9399999999999995,163.39695597315358,6.939639056774863,13.14430724980948,
1880.05,4.77,0.225,0.4258,9.419419835,3.913333333333333,155.0231543533275,7.312412941194694,13.838335246047562,
1880.06,4.79,0.23,0.435,9.229089256,3.8866666666666667,158.88357825196005,7.629065344039836,14.428884455031861,
1880.07,5.01,0.235,0.4442,9.229089256,3.8600000000000003,166.18094510278075,7.794914590649396,14.734047068793455,
1880.08,5.19,0.24,0.4533,9.229089256,3.8333333333333335,172.15151798072498,7.960763837258957,15.035892697622858,
1880.09,5.18,0.245,0.4625,9.324254545,3.8066666666666666,170.06619052997974,8.043671173715259,15.18448129731962,
1880.1,5.33,0.25,0.4717,9.324254545,3.7800000000000002,174.99088716694828,8.207827728280876,15.486529357720356,
1880.11,5.61,0.255,0.4808,9.419419835,3.7533333333333334,182.32282933378772,8.287401333353987,15.625813965006262,
1880.12,5.84,0.26,0.49,9.514585124,3.726666666666667,187.8993751908756,8.365383142059532,15.765529767727577,
1881.01,6.19,0.265,0.4858,9.419419835,3.7,201.17260491553407,8.612397464073752,15.788312030366143,18.47395230140494
1881.02,6.17,0.27,0.4817,9.514585124,3.693333333333334,198.51697687118192,8.687128647523359,15.498480998192601,18.14725816499023
1881.03,6.24,0.275,0.4775,9.514585124,3.686666666666667,200.76919540942873,8.848001400255272,15.363347885897792,18.27011914020499
1881.04,6.22,0.28,0.4733,9.609669421,3.68,198.14553098350535,8.919734513726931,15.0775369476677,17.95010827822289
1881.05,6.5,0.285,0.4692,9.514585124,3.673333333333334,209.13457855148826,9.1697469057191,15.096299116362813,18.869718693152592
1881.06,6.58,0.29,0.465,9.514585124,3.666666666666667,211.70854259519888,9.330619658451013,14.961166004068007,19.02871073111578
1881.07,6.35,0.295,0.4608,9.609669421,3.66,202.28683629345002,9.397577434105159,14.679334514019175,18.116367187389738
1881.08,6.2,0.3,0.4567,9.8,3.6533333333333333,193.67249999999996,9.371249999999996,14.266166249999994,17.286243553973446
1881.09,6.25,0.305,0.4525,10.18058017,3.646666666666667,187.93593715199822,9.171273733017514,13.606561849804672,16.724836648772897
1881.1,6.15,0.31,0.4483,10.27574545,3.64,183.2163062194188,9.235293484230867,13.35542602896999,16.261989411181354
1881.11,6.19,0.315,0.4442,10.18058017,3.6333333333333337,186.1317521553391,9.47197123246071,13.356982925266816,16.47864231664487
1881.12,6.01,0.32,0.44,10.18058017,3.626666666666667,180.7191971653615,9.62231998218231,13.230689975500676,15.958754206105079
1882.01,5.92,0.32,0.4392,10.18058017,3.62,178.01291967037272,9.62231998218231,13.20663417554522,15.678764160028743
1882.02,5.79,0.32,0.4383,10.27574545,3.6208333333333336,172.4914492699894,9.533206177270571,13.057513335930288,15.153861528363038
1882.03,5.78,0.32,0.4375,10.27574545,3.621666666666667,172.19353657694973,9.533206177270571,13.03368032048711,15.091670299486745
1882.04,5.78,0.32,0.4367,10.37091074,3.6225,170.61345858232696,9.445727810786266,12.890466671782384,14.916997168375302
1882.05,5.71,0.32,0.4358,10.46599504,3.6233333333333335,167.0159424229958,9.359912710220431,12.747031122231451,14.567103202191758
1882.06,5.68,0.32,0.435,10.56116033,3.6241666666666665,164.6413978832191,9.275571711730654,12.608980295633858,14.327404890131673
1882.07,6.0,0.32,0.4342,10.46599504,3.625,175.4983633166331,9.359912710220431,12.700231558680347,15.240559761217828
1882.08,6.18,0.32,0.4333,10.56116033,3.6258333333333335,179.13447868279826,9.275571711730654,12.55970382091529,15.525429331463034
1882.09,6.24,0.32,0.4325,10.27574545,3.626666666666667,185.89752045677616,9.533206177270571,12.884723973967258,16.081106624462315
1882.1,6.07,0.32,0.4317,10.18058017,3.6275,182.5233821620207,9.62231998218231,12.98111105096282,15.75558103052656
1882.11,5.81,0.32,0.4308,10.08541488,3.6283333333333334,176.35375402622995,9.713115540171014,13.076281795955227,15.192670313165339
1882.12,5.84,0.32,0.43,9.990330579,3.629166666666667,178.95149573508417,9.8055614101416,13.176223144877774,15.382128332081967
1883.01,5.81,0.3208,0.4275,9.990330579,3.63,178.0322243528834,9.830075313666953,13.099617196361043,15.27025911909857
1883.02,5.68,0.3217,0.425,10.08541488,3.629166666666667,172.40780083803548,9.764716466478172,12.900231576789627,14.75759014617622
1883.03,5.75,0.3225,0.4225,9.990330579,3.6283333333333334,176.19368158848187,9.88216735865833,12.946405299327578,15.05125412140164
1883.04,5.87,0.3233,0.42,9.895165289,3.6275,181.60064764128873,10.001957305354113,12.993572744351152,15.482067222036674
1883.05,5.77,0.3242,0.4175,9.8,3.626666666666667,180.24037499999994,10.127197499999998,13.041656249999996,15.335497637337067
1883.06,5.82,0.325,0.415,9.514585124,3.6258333333333335,187.25588417994794,10.456728927574414,13.352438476748866,15.903388388583796
1883.07,5.73,0.3258,0.4125,9.324254545,3.625,188.12341153219768,10.696441095495636,13.542915751663443,15.948783127017029
1883.08,5.47,0.3267,0.41,9.324254545,3.6241666666666665,179.58727069478556,10.725989275317449,13.460837474380636,15.196810876629849
1883.09,5.53,0.3275,0.4075,9.229089256,3.6233333333333335,183.42926675017517,10.863125652926287,13.516713598679273,15.494692425793458
1883.1,5.38,0.3283,0.405,9.229089256,3.6225,178.4537893518883,10.889661532383817,13.433788975374494,15.048056270223839
1883.11,5.46,0.3292,0.4025,9.134004959,3.621666666666667,182.99269132244837,11.033185711236264,13.489845834667669,15.408218142448874
1883.12,5.34,0.33,0.4,9.229089256,3.6208333333333336,177.12699537901182,10.946050276231068,13.267939728764931,14.896403941887169
1884.01,5.18,0.3283,0.3925,9.229089256,3.62,171.81981948750584,10.889661532383817,13.019165858850588,14.432821721970727
1884.02,5.32,0.3267,0.385,9.229089256,3.611666666666667,176.4635983925736,10.836589773468758,12.770391988936247,14.805960228816714
1884.03,5.3,0.325,0.3775,9.229089256,3.6033333333333335,175.80020140613533,10.780201029621507,12.521618119021904,14.736023454014473
1884.04,5.06,0.3233,0.37,9.038839669,3.5949999999999998,171.3721237154516,10.949527193123618,12.531163196584407,14.353453682579477
1884.05,4.65,0.3217,0.3625,8.848509091,3.586666666666667,160.8737540257334,11.129696058081382,12.541233512758785,13.46505031380491
1884.06,4.46,0.32,0.355,8.848509091,3.5783333333333336,154.30041783973567,11.070881997469824,12.281759715943085,12.906876483666865
1884.07,4.46,0.3183,0.3475,8.753424793,3.57,155.97651002746207,11.131686803080983,12.152878303709208,13.043931585991672
1884.08,4.74,0.3167,0.34,8.753424793,3.5616666666666665,165.76875729376016,11.075731104416422,11.890585966219081,13.859813341769325
1884.09,4.59,0.315,0.3325,8.658259504,3.5533333333333337,162.2872615854088,11.13736108919472,11.756103371927763,13.569154744335725
1884.1,4.44,0.3133,0.325,8.563094215,3.545,158.72838320744788,11.200360914165183,11.618631653698323,13.27325131913416
1884.11,4.35,0.3117,0.3175,8.372844628,3.536666666666667,159.04446865605922,11.396358823010036,11.60841811455145,13.304437602119732
1884.12,4.34,0.31,0.31,8.277679339,3.5283333333333333,160.5031187594303,11.464508482816452,11.464508482816452,13.432292746944762
1885.01,4.24,0.3042,0.3067,8.277679339,3.52,156.80489021658633,11.2500112273315,11.342466940902597,13.129817425635967
1885.02,4.37,0.2983,0.3033,8.372844628,3.5075,159.7757075924089,10.906428735655739,11.089238469743165,13.384817593597964
1885.03,4.38,0.2925,0.3,8.18251405,3.495,163.86631807861053,10.943127405934607,11.223720416343186,13.734194093452514
1885.04,4.37,0.2867,0.2967,8.277679339,3.4825,161.61258732228353,10.602821232333797,10.972644086618198,13.54854854103006
1885.05,4.32,0.2808,0.2933,8.087381157,3.4699999999999998,163.52274912322397,10.628978693009557,11.102134795796665,13.71137187256194
